id,BookTitle,Author,Year,GivenRating,ReviewText,ReviewDate
302,The Very Hungry Caterpillar,Eric Carle,1969,4.3,This book was MAGICAL.  [note]  'The Very Hungry Caterpillar' by Eric Carle !!! @friend,2024-08-24
303,The Giving Tree,Shel Silverstein,1964,3.4,This book was AMAZING.  [skip this part]  'The Giving Tree' by Shel Silverstein @@@ 💯,2023-05-20
304,Green Eggs and Ham,Dr. Seuss,1960,5.0,This book was BORING.  [Review]  'Green Eggs and Ham' by Dr. Seuss ... 💯,2025-06-05
305,Goodnight Moon,Margaret Wise Brown,1947,4.3,This book was AMAZING.  [note]  'Goodnight Moon' by Margaret Wise Brown ??? #reading,2023-07-12
306,Charlotte’s Web,E.B. White,1952,3.2,This book was SO BAD.  [Review]  'Charlotte’s Web' by E.B. White !!! 💯,2023-04-15
307,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,1957,4.2,"This book was MAGICAL.  [note]  'The Cat in the Hat (Cat in the Hat, #1)' by Dr. Seuss ### #reading",2023-05-03
308,Where the Sidewalk Ends,Shel Silverstein,1974,5.0,This book was LOVED IT.  [spoiler]  'Where the Sidewalk Ends' by Shel Silverstein ### ✨,2024-05-15
309,If You Give a Mouse a Cookie,Laura Joffe Numeroff,1985,5.0,This book was MAGICAL.  [spoiler]  'If You Give a Mouse a Cookie' by Laura Joffe Numeroff ### #reading,2024-05-10
310,Love You Forever,Robert Munsch,1986,4.4,This book was LOVED IT.  [note]  'Love You Forever' by Robert Munsch ??? ✨,2024-05-25
311,Corduroy,Don Freeman,1968,4.3,This book was MAGICAL.  [spoiler]  'Corduroy' by Don Freeman ??? #reading,2025-04-02
312,The Lorax,Dr. Seuss,1971,5.0,This book was LOVED IT.  [spoiler]  'The Lorax' by Dr. Seuss ### #reading,2024-12-06
313,Madeline,Ludwig Bemelmans,1939,3.3,This book was LOVED IT.  [note]  'Madeline' by Ludwig Bemelmans ??? http://buybook.com,2023-09-26
314,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,1997,3.5,"This book was SO BAD.  [skip this part]  'Harry Potter and the Sorcerer's Stone (Harry Potter, #1)' by J.K. Rowling ### ✨",2023-01-16
315,The Velveteen Rabbit,Margery Williams Bianco,1922,4.3,This book was SO BAD.  [Review]  'The Velveteen Rabbit' by Margery Williams Bianco ### @friend,2025-01-09
316,How the Grinch Stole Christmas!,Dr. Seuss,1957,3.4,This book was SO BAD.  [note]  'How the Grinch Stole Christmas!' by Dr. Seuss ... @friend,2025-03-01
317,Curious George,H.A. Rey,1941,3.2,This book was LOVED IT.  [Review]  'Curious George' by H.A. Rey @@@ http://buybook.com,2023-03-30
318,The Monster at the End of this Book,Jon Stone,1971,4.5,This book was BORING.  [spoiler]  'The Monster at the End of this Book' by Jon Stone ??? #reading,2024-08-24
319,Chicka Chicka Boom Boom,Bill Martin Jr. and John Archambault,1989,5.0,This book was LOVED IT.  [note]  'Chicka Chicka Boom Boom' by Bill Martin Jr. and John Archambault ### @friend,2023-08-22
320,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,1960,3.2,"This book was BORING.  [skip this part]  'One Fish, Two Fish, Red Fish, Blue Fish' by Dr. Seuss ??? @friend",2025-04-30
321,The Little Prince,Antoine de Saint-Exupéry,1943,3.3,This book was BORING.  [note]  'The Little Prince' by Antoine de Saint-Exupéry ### #reading,2023-12-05
322,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr. and Eric Carle,1966,4.3,"This book was MAGICAL.  [spoiler]  'Brown Bear, Brown Bear, What Do You See?' by Bill Martin Jr. and Eric Carle ... @friend",2025-03-09
323,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,1972,4.2,"This book was SO BAD.  [note]  'Alexander and the Terrible, Horrible, No Good, Very Bad Day' by Judith Viorst ### @friend",2025-08-05
324,Matilda,Roald Dahl,1988,4.3,This book was MAGICAL.  [spoiler]  'Matilda' by Roald Dahl !!! http://buybook.com,2024-03-13
325,"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,1955,4.3,"This book was SO BAD.  [note]  'Harold and the Purple Crayon (Harold, #1)' by Crockett Johnson @@@ @friend",2023-12-24
326,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,1902,3.2,"This book was SO BAD.  [skip this part]  'The Tale of Peter Rabbit (World of Beatrix Potter, #1)' by Beatrix Potter ??? @friend",2024-06-09
327,Are You My Mother?,P.D. Eastman,1960,3.2,This book was AMAZING.  [skip this part]  'Are You My Mother?' by P.D. Eastman ... 💯,2024-09-12
328,"Frog and Toad Are Friends (Frog and Toad, #1)",Arnold Lobel,1970,5.0,"This book was AMAZING.  [skip this part]  'Frog and Toad Are Friends (Frog and Toad, #1)' by Arnold Lobel ### ✨",2023-10-09
329,"Oh, the Places You’ll Go!",Dr. Seuss,1990,4.4,"This book was BORING.  [Review]  'Oh, the Places You’ll Go!' by Dr. Seuss ??? 💯",2025-01-04
330,"Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,1978,3.2,"This book was MAGICAL.  [skip this part]  'Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)' by Judi Barrett !!! ✨",2023-02-05
331,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",A.A. Milne,1926,4.4,"This book was SO BAD.  [note]  'The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)' by A.A. Milne !!! 💯",2024-06-14
332,The Secret Garden,Frances Hodgson Burnett,1911,4.2,This book was BORING.  [Review]  'The Secret Garden' by Frances Hodgson Burnett @@@ http://buybook.com,2023-05-19
333,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,1865,3.1,This book was LOVED IT.  [Review]  'Alice’s Adventures in Wonderland / Through the Looking-Glass' by Lewis Carroll ... 💯,2024-04-14
334,Guess How Much I Love You,Sam McBratney,1994,3.4,This book was LOVED IT.  [skip this part]  'Guess How Much I Love You' by Sam McBratney ### #reading,2024-10-21
335,Horton Hears a Who!,Dr. Seuss,1954,5.0,This book was MAGICAL.  [note]  'Horton Hears a Who!' by Dr. Seuss ... ✨,2024-08-15
336,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,1950,5.0,"This book was BORING.  [skip this part]  'The Chronicles of Narnia (The Chronicles of Narnia, #1-7)' by C.S. Lewis ??? http://buybook.com",2024-02-23
337,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,1945,4.2,"This book was SO BAD.  [skip this part]  'Pippi Longstocking (Pippi Långstrump, #1)' by Astrid Lindgren ??? ✨",2023-01-31
338,The True Story of the 3 Little Pigs,Jon Scieszka,1989,3.3,This book was SO BAD.  [Review]  'The True Story of the 3 Little Pigs' by Jon Scieszka ... ✨,2023-07-17
339,The Little Engine That Could,Watty Piper,1930,3.2,This book was BORING.  [Review]  'The Little Engine That Could' by Watty Piper !!! ✨,2023-11-08
340,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908,3.3,"This book was BORING.  [spoiler]  'Anne of Green Gables (Anne of Green Gables, #1)' by L.M. Montgomery ??? @friend",2024-05-06
341,"Amelia Bedelia (Amelia Bedelia, #1)",Peggy Parish,1963,5.0,"This book was BORING.  [spoiler]  'Amelia Bedelia (Amelia Bedelia, #1)' by Peggy Parish !!! http://buybook.com",2023-07-18
342,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,1964,5.0,"This book was SO BAD.  [note]  'Charlie and the Chocolate Factory (Charlie Bucket, #1)' by Roald Dahl !!! @friend",2024-03-09
343,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,1937,4.3,"This book was AMAZING.  [skip this part]  'The Hobbit, or There and Back Again (The Lord of the Rings, #0)' by J.R.R. Tolkien ??? http://buybook.com",2024-01-06
344,The BFG,Roald Dahl,1982,4.2,This book was MAGICAL.  [skip this part]  'The BFG' by Roald Dahl ??? 💯,2024-11-20
345,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,1992,3.2,This book was AMAZING.  [skip this part]  'The Stinky Cheese Man and Other Fairly Stupid Tales' by Jon Scieszka ... ✨,2023-05-28
346,Stellaluna,Janell Cannon,1993,3.3,This book was AMAZING.  [Review]  'Stellaluna' by Janell Cannon !!! #reading,2025-03-18
347,The Poky Little Puppy,Janette Sebring Lowrey,1942,4.1,This book was MAGICAL.  [skip this part]  'The Poky Little Puppy' by Janette Sebring Lowrey ... @friend,2024-05-10
348,Make Way for Ducklings,Robert McCloskey,1941,4.2,This book was MAGICAL.  [note]  'Make Way for Ducklings' by Robert McCloskey ??? 💯,2023-06-05
349,James and the Giant Peach,Roald Dahl,1961,3.0,This book was MAGICAL.  [spoiler]  'James and the Giant Peach' by Roald Dahl @@@ 💯,2025-07-05
350,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,1962,4.0,"This book was MAGICAL.  [Review]  'A Wrinkle in Time (Time Quintet, #1)' by Madeleine L'Engle @@@ #reading",2023-09-20
351,Don't Let the Pigeon Drive the Bus!,Mo Willems,2003,3.3,This book was LOVED IT.  [Review]  'Don't Let the Pigeon Drive the Bus!' by Mo Willems !!! @friend,2024-06-12
352,The Polar Express,Chris Van Allsburg,1985,3.3,This book was LOVED IT.  [Review]  'The Polar Express' by Chris Van Allsburg ### ✨,2024-06-10
353,The Phantom Tollbooth,Norton Juster,1961,4.2,This book was BORING.  [Review]  'The Phantom Tollbooth' by Norton Juster @@@ http://buybook.com,2025-02-25
354,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,1932,4.2,"This book was BORING.  [Review]  'Little House in the Big Woods (Little House, #1)' by Laura Ingalls Wilder ... @friend",2023-10-31
355,"Go, Dog. Go!",P.D. Eastman,1961,4.2,"This book was BORING.  [spoiler]  'Go, Dog. Go!' by P.D. Eastman ### #reading",2023-05-06
356,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,1900,5.0,"This book was SO BAD.  [spoiler]  'The Wonderful Wizard of Oz (Oz, #1)' by L. Frank Baum ... @friend",2024-03-16
357,The Rainbow Fish,Marcus Pfister,1992,3.2,This book was LOVED IT.  [Review]  'The Rainbow Fish' by Marcus Pfister ... #reading,2024-05-29
358,"The Giver (The Giver, #1)",Lois Lowry,1993,5.0,"This book was BORING.  [skip this part]  'The Giver (The Giver, #1)' by Lois Lowry ### #reading",2025-03-22
359,The Story of Ferdinand,Munro Leaf,1936,4.4,This book was BORING.  [note]  'The Story of Ferdinand' by Munro Leaf ??? ✨,2024-12-19
360,The Night Before Christmas,Clement Clarke Moore,1823,5.0,This book was AMAZING.  [spoiler]  'The Night Before Christmas' by Clement Clarke Moore ### #reading,2023-07-08
361,Bridge to Terabithia,Katherine Paterson,1977,4.0,This book was SO BAD.  [note]  'Bridge to Terabithia' by Katherine Paterson ??? @friend,2024-09-16
362,Blueberries for Sal,Robert McCloskey,1948,3.2,This book was MAGICAL.  [skip this part]  'Blueberries for Sal' by Robert McCloskey ... ✨,2023-11-22
363,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,1940,4.2,"This book was LOVED IT.  [skip this part]  'Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business' by Esphyr Slobodkina @@@ http://buybook.com",2024-03-22
364,The Witches,Roald Dahl,1983,3.2,This book was AMAZING.  [skip this part]  'The Witches' by Roald Dahl ### ✨,2024-04-05
365,Clifford the Big Red Dog,Norman Bridwell,1963,4.2,This book was BORING.  [note]  'Clifford the Big Red Dog' by Norman Bridwell ??? @friend,2024-04-16
366,Fox in Socks,Dr. Seuss,1965,5.0,This book was AMAZING.  [note]  'Fox in Socks' by Dr. Seuss ... http://buybook.com,2023-05-19
367,"Little Bear (Little Bear, #1)",Else Holmelund Minarik,1957,4.2,"This book was SO BAD.  [skip this part]  'Little Bear (Little Bear, #1)' by Else Holmelund Minarik !!! http://buybook.com",2025-02-12
368,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,4.2,"This book was LOVED IT.  [note]  'The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)' by C.S. Lewis @@@ http://buybook.com",2023-09-02
369,The Paper Bag Princess,Robert Munsch,1980,3.3,This book was LOVED IT.  [skip this part]  'The Paper Bag Princess' by Robert Munsch @@@ @friend,2024-03-31
370,"The Snowy Day (Peter, #1)",Ezra Jack Keats,1962,4.2,"This book was SO BAD.  [Review]  'The Snowy Day (Peter, #1)' by Ezra Jack Keats @@@ 💯",2024-02-17
371,Tikki Tikki Tembo,Arlene Mosel,1968,4.2,This book was BORING.  [spoiler]  'Tikki Tikki Tembo' by Arlene Mosel ### ✨,2024-11-12
372,A Bad Case of Stripes (Scholastic Bookshelf),David Shannon,1998,3.3,This book was BORING.  [note]  'A Bad Case of Stripes (Scholastic Bookshelf)' by David Shannon ... #reading,2025-01-13
373,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,1926,5.0,"This book was MAGICAL.  [note]  'Winnie-the-Pooh (Winnie-the-Pooh, #1)' by A.A. Milne ... 💯",2023-08-23
374,Chrysanthemum,Kevin Henkes,1991,4.3,This book was BORING.  [spoiler]  'Chrysanthemum' by Kevin Henkes ??? ✨,2024-01-09
375,"Miss Nelson Is Missing! (Miss Nelson, #1)",Harry Allard,1977,5.0,"This book was BORING.  [spoiler]  'Miss Nelson Is Missing! (Miss Nelson, #1)' by Harry Allard ... http://buybook.com",2024-06-02
376,Falling Up,Shel Silverstein,1996,3.4,This book was MAGICAL.  [Review]  'Falling Up' by Shel Silverstein @@@ ✨,2025-04-30
377,"Click, Clack, Moo: Cows That Type",Doreen Cronin,2000,4.3,"This book was AMAZING.  [note]  'Click, Clack, Moo: Cows That Type' by Doreen Cronin @@@ #reading",2024-01-22
378,The Tale of Despereaux,Kate DiCamillo,2003,4.1,This book was MAGICAL.  [skip this part]  'The Tale of Despereaux' by Kate DiCamillo ### http://buybook.com,2023-07-11
379,The Sneetches and Other Stories,Dr. Seuss,1961,4.3,This book was BORING.  [note]  'The Sneetches and Other Stories' by Dr. Seuss ### ✨,2023-03-31
380,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,1967,4.2,This book was BORING.  [skip this part]  'From the Mixed-Up Files of Mrs. Basil E. Frankweiler' by E.L. Konigsburg !!! http://buybook.com,2024-12-22
381,"The Story of Babar (Babar, #1)",Jean de Brunhoff,1931,3.1,"This book was AMAZING.  [skip this part]  'The Story of Babar (Babar, #1)' by Jean de Brunhoff @@@ @friend",2025-02-14
382,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,1980,3.9,"This book was LOVED IT.  [skip this part]  'The Indian in the Cupboard (The Indian in the Cupboard, #1)' by Lynne Reid Banks ... ✨",2024-11-27
383,The Adventures of Tom Sawyer,Mark Twain,1876,4.9,This book was AMAZING.  [Review]  'The Adventures of Tom Sawyer' by Mark Twain @@@ #reading,2024-05-28
384,"The Mouse and the Motorcycle (Ralph S. Mouse, #1)",Beverly Cleary,1965,4.0,"This book was MAGICAL.  [spoiler]  'The Mouse and the Motorcycle (Ralph S. Mouse, #1)' by Beverly Cleary !!! @friend",2023-02-26
385,"Olivia (Olivia, #1)",Ian Falconer,2000,4.2,"This book was AMAZING.  [Review]  'Olivia (Olivia, #1)' by Ian Falconer ??? ✨",2023-08-24
386,"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,1978,3.2,"This book was LOVED IT.  [Review]  'Sideways Stories from Wayside School (Wayside School, #1)' by Louis Sachar ### @friend",2023-02-16
387,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,1932,4.4,"This book was SO BAD.  [spoiler]  'The Little House Collection (Little House, #1-9)' by Laura Ingalls Wilder ... 💯",2025-03-10
388,The Neverending Story,Michael Ende,1979,5.0,This book was LOVED IT.  [note]  'The Neverending Story' by Michael Ende ??? http://buybook.com,2025-06-20
389,"Ramona the Pest (Ramona, #2)",Beverly Cleary,1968,3.1,"This book was SO BAD.  [Review]  'Ramona the Pest (Ramona, #2)' by Beverly Cleary ??? 💯",2023-01-04
390,Hop On Pop,Dr. Seuss,1963,3.0,This book was AMAZING.  [spoiler]  'Hop On Pop' by Dr. Seuss ??? #reading,2025-03-10
391,The Little House,Virginia Lee Burton,1942,4.3,This book was MAGICAL.  [skip this part]  'The Little House' by Virginia Lee Burton ... http://buybook.com,2023-05-27
392,Harry the Dirty Dog,Gene Zion,1956,4.2,This book was SO BAD.  [Review]  'Harry the Dirty Dog' by Gene Zion ... 💯,2024-12-15
393,The Runaway Bunny,Margaret Wise Brown,1942,5.0,This book was LOVED IT.  [note]  'The Runaway Bunny' by Margaret Wise Brown ### http://buybook.com,2023-05-27
394,Horton Hatches the Egg,Dr. Seuss,1940,4.2,This book was BORING.  [note]  'Horton Hatches the Egg' by Dr. Seuss @@@ 💯,2024-03-22
395,"Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)",Deborah Howe,1979,3.9,"This book was LOVED IT.  [Review]  'Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)' by Deborah Howe @@@ ✨",2023-01-18
396,Stone Soup,Jon J. Muth,2003,3.2,This book was AMAZING.  [note]  'Stone Soup' by Jon J. Muth ... 💯,2023-07-18
397,A Light in the Attic,Shel Silverstein,1981,4.4,This book was SO BAD.  [spoiler]  'A Light in the Attic' by Shel Silverstein @@@ 💯,2024-07-14
398,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,1999,3.6,"This book was MAGICAL.  [note]  'Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)' by J.K. Rowling !!! 💯",2023-08-31
399,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,1998,5.0,"This book was LOVED IT.  [spoiler]  'Harry Potter and the Chamber of Secrets (Harry Potter, #2)' by J.K. Rowling ### @friend",2024-03-30
400,The Three Billy Goats Gruff,Paul Galdone,1973,3.2,This book was LOVED IT.  [note]  'The Three Billy Goats Gruff' by Paul Galdone ### @friend,2023-01-12
401,Where the Wild Things Are,Maurice Sendak,1963,4.2,This book was SO BAD.  [Review]  'Where the Wild Things Are' by Maurice Sendak ### http://buybook.com,2025-04-26
402,The Very Hungry Caterpillar,Eric Carle,1969,3.3,This book was MAGICAL.  [spoiler]  'The Very Hungry Caterpillar' by Eric Carle ... http://buybook.com,2023-12-29
403,The Giving Tree,Shel Silverstein,1964,5.0,This book was AMAZING.  [note]  'The Giving Tree' by Shel Silverstein ??? @friend,2023-08-09
404,Green Eggs and Ham,Dr. Seuss,1960,4.3,This book was AMAZING.  [note]  'Green Eggs and Ham' by Dr. Seuss ### http://buybook.com,2024-03-03
405,Goodnight Moon,Margaret Wise Brown,1947,4.3,This book was SO BAD.  [note]  'Goodnight Moon' by Margaret Wise Brown !!! #reading,2023-10-17
406,Charlotte’s Web,E.B. White,1952,4.2,This book was MAGICAL.  [skip this part]  'Charlotte’s Web' by E.B. White @@@ @friend,2023-03-27
407,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,1957,4.2,"This book was AMAZING.  [skip this part]  'The Cat in the Hat (Cat in the Hat, #1)' by Dr. Seuss @@@ ✨",2025-01-06
408,Where the Sidewalk Ends,Shel Silverstein,1974,5.0,This book was AMAZING.  [Review]  'Where the Sidewalk Ends' by Shel Silverstein @@@ #reading,2023-09-17
409,If You Give a Mouse a Cookie,Laura Joffe Numeroff,1985,3.3,This book was MAGICAL.  [note]  'If You Give a Mouse a Cookie' by Laura Joffe Numeroff @@@ http://buybook.com,2023-05-18
410,Love You Forever,Robert Munsch,1986,5.0,This book was LOVED IT.  [skip this part]  'Love You Forever' by Robert Munsch !!! http://buybook.com,2023-04-21
411,Corduroy,Don Freeman,1968,5.0,This book was MAGICAL.  [skip this part]  'Corduroy' by Don Freeman ### ✨,2025-01-19
412,The Lorax,Dr. Seuss,1971,3.3,This book was MAGICAL.  [note]  'The Lorax' by Dr. Seuss !!! #reading,2023-10-04
413,Madeline,Ludwig Bemelmans,1939,4.3,This book was BORING.  [skip this part]  'Madeline' by Ludwig Bemelmans ??? 💯,2023-01-19
414,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,1997,4.5,"This book was MAGICAL.  [Review]  'Harry Potter and the Sorcerer's Stone (Harry Potter, #1)' by J.K. Rowling ??? #reading",2023-05-09
415,The Velveteen Rabbit,Margery Williams Bianco,1922,4.3,This book was SO BAD.  [Review]  'The Velveteen Rabbit' by Margery Williams Bianco ??? #reading,2025-07-21
416,How the Grinch Stole Christmas!,Dr. Seuss,1957,5.0,This book was AMAZING.  [note]  'How the Grinch Stole Christmas!' by Dr. Seuss ... ✨,2023-03-28
417,Curious George,H.A. Rey,1941,5.0,This book was SO BAD.  [spoiler]  'Curious George' by H.A. Rey ??? ✨,2023-06-02
418,The Monster at the End of this Book,Jon Stone,1971,3.5,This book was SO BAD.  [skip this part]  'The Monster at the End of this Book' by Jon Stone ??? #reading,2023-02-06
419,Chicka Chicka Boom Boom,Bill Martin Jr. and John Archambault,1989,3.3,This book was LOVED IT.  [note]  'Chicka Chicka Boom Boom' by Bill Martin Jr. and John Archambault @@@ 💯,2023-02-19
420,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,1960,3.2,"This book was AMAZING.  [skip this part]  'One Fish, Two Fish, Red Fish, Blue Fish' by Dr. Seuss ... ✨",2023-06-16
421,The Little Prince,Antoine de Saint-Exupéry,1943,3.3,This book was MAGICAL.  [spoiler]  'The Little Prince' by Antoine de Saint-Exupéry ??? @friend,2025-07-25
422,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr. and Eric Carle,1966,3.3,"This book was LOVED IT.  [skip this part]  'Brown Bear, Brown Bear, What Do You See?' by Bill Martin Jr. and Eric Carle ### ✨",2023-10-21
423,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,1972,3.2,"This book was BORING.  [spoiler]  'Alexander and the Terrible, Horrible, No Good, Very Bad Day' by Judith Viorst ??? http://buybook.com",2025-06-09
424,Matilda,Roald Dahl,1988,4.3,This book was LOVED IT.  [note]  'Matilda' by Roald Dahl @@@ http://buybook.com,2024-09-17
425,"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,1955,4.3,"This book was SO BAD.  [note]  'Harold and the Purple Crayon (Harold, #1)' by Crockett Johnson ... 💯",2023-12-27
426,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,1902,4.2,"This book was BORING.  [spoiler]  'The Tale of Peter Rabbit (World of Beatrix Potter, #1)' by Beatrix Potter ... http://buybook.com",2023-09-04
427,Are You My Mother?,P.D. Eastman,1960,4.2,This book was SO BAD.  [skip this part]  'Are You My Mother?' by P.D. Eastman ... @friend,2023-12-09
428,"Frog and Toad Are Friends (Frog and Toad, #1)",Arnold Lobel,1970,5.0,"This book was AMAZING.  [note]  'Frog and Toad Are Friends (Frog and Toad, #1)' by Arnold Lobel ??? @friend",2023-03-27
429,"Oh, the Places You’ll Go!",Dr. Seuss,1990,4.4,"This book was BORING.  [Review]  'Oh, the Places You’ll Go!' by Dr. Seuss @@@ ✨",2023-03-29
430,"Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,1978,3.2,"This book was SO BAD.  [skip this part]  'Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)' by Judi Barrett @@@ http://buybook.com",2024-07-29
431,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",A.A. Milne,1926,5.0,"This book was LOVED IT.  [skip this part]  'The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)' by A.A. Milne @@@ @friend",2024-09-22
432,The Secret Garden,Frances Hodgson Burnett,1911,3.2,This book was SO BAD.  [Review]  'The Secret Garden' by Frances Hodgson Burnett !!! http://buybook.com,2023-12-21
433,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,1865,3.1,This book was LOVED IT.  [skip this part]  'Alice’s Adventures in Wonderland / Through the Looking-Glass' by Lewis Carroll ??? 💯,2025-03-19
434,Guess How Much I Love You,Sam McBratney,1994,3.4,This book was MAGICAL.  [Review]  'Guess How Much I Love You' by Sam McBratney ### @friend,2023-03-31
435,Horton Hears a Who!,Dr. Seuss,1954,4.2,This book was BORING.  [note]  'Horton Hears a Who!' by Dr. Seuss ??? #reading,2025-04-08
436,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,1950,4.3,"This book was BORING.  [Review]  'The Chronicles of Narnia (The Chronicles of Narnia, #1-7)' by C.S. Lewis ??? #reading",2024-09-26
437,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,1945,4.2,"This book was SO BAD.  [spoiler]  'Pippi Longstocking (Pippi Långstrump, #1)' by Astrid Lindgren ??? ✨",2024-07-13
438,The True Story of the 3 Little Pigs,Jon Scieszka,1989,4.3,This book was BORING.  [Review]  'The True Story of the 3 Little Pigs' by Jon Scieszka ... 💯,2023-11-10
439,The Little Engine That Could,Watty Piper,1930,5.0,This book was BORING.  [spoiler]  'The Little Engine That Could' by Watty Piper @@@ #reading,2023-06-22
440,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908,4.3,"This book was SO BAD.  [skip this part]  'Anne of Green Gables (Anne of Green Gables, #1)' by L.M. Montgomery ### ✨",2025-07-01
441,"Amelia Bedelia (Amelia Bedelia, #1)",Peggy Parish,1963,4.2,"This book was SO BAD.  [Review]  'Amelia Bedelia (Amelia Bedelia, #1)' by Peggy Parish !!! @friend",2024-01-22
442,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,1964,4.2,"This book was AMAZING.  [skip this part]  'Charlie and the Chocolate Factory (Charlie Bucket, #1)' by Roald Dahl @@@ 💯",2024-07-30
443,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,1937,4.3,"This book was LOVED IT.  [skip this part]  'The Hobbit, or There and Back Again (The Lord of the Rings, #0)' by J.R.R. Tolkien ??? @friend",2024-06-22
444,The BFG,Roald Dahl,1982,4.2,This book was MAGICAL.  [note]  'The BFG' by Roald Dahl ### #reading,2024-02-26
445,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,1992,4.2,This book was LOVED IT.  [Review]  'The Stinky Cheese Man and Other Fairly Stupid Tales' by Jon Scieszka ... http://buybook.com,2024-11-03
446,Stellaluna,Janell Cannon,1993,5.0,This book was SO BAD.  [note]  'Stellaluna' by Janell Cannon ... @friend,2024-12-07
447,The Poky Little Puppy,Janette Sebring Lowrey,1942,5.0,This book was LOVED IT.  [Review]  'The Poky Little Puppy' by Janette Sebring Lowrey @@@ http://buybook.com,2023-09-22
448,Make Way for Ducklings,Robert McCloskey,1941,4.2,This book was SO BAD.  [skip this part]  'Make Way for Ducklings' by Robert McCloskey @@@ http://buybook.com,2024-08-17
449,James and the Giant Peach,Roald Dahl,1961,5.0,This book was BORING.  [spoiler]  'James and the Giant Peach' by Roald Dahl ??? http://buybook.com,2023-04-01
450,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,1962,4.0,"This book was SO BAD.  [note]  'A Wrinkle in Time (Time Quintet, #1)' by Madeleine L'Engle ### #reading",2025-02-25
451,Don't Let the Pigeon Drive the Bus!,Mo Willems,2003,4.3,This book was BORING.  [spoiler]  'Don't Let the Pigeon Drive the Bus!' by Mo Willems !!! @friend,2025-03-22
452,The Polar Express,Chris Van Allsburg,1985,4.3,This book was LOVED IT.  [spoiler]  'The Polar Express' by Chris Van Allsburg ### 💯,2023-07-25
